iter	Passed	Remaining
571	7035	5264
572	7046	5251
573	7058	5238
574	7069	5225
575	7081	5212
576	7092	5199
577	7104	5186
578	7115	5174
579	7126	5160
580	7138	5148
581	7150	5135
582	7162	5123
583	7173	5110
584	7185	5097
585	7197	5084
586	7208	5072
587	7220	5059
588	7231	5046
589	7243	5033
590	7255	5020
591	7266	5008
592	7278	4995
593	7289	4982
594	7301	4970
595	7313	4957
596	7324	4944
597	7336	4931
598	7348	4919
599	7360	4906
600	7371	4894
601	7383	4881
602	7395	4868
603	7407	4856
604	7418	4843
605	7430	4831
606	7442	4818
607	7453	4805
608	7465	4793
609	7476	4780
610	7488	4767
611	7500	4754
612	7511	4742
613	7523	4729
614	7535	4717
615	7546	4704
616	7558	4691
617	7569	4679
618	7581	4666
619	7594	4654
620	7606	4642
621	7618	4629
622	7630	4617
623	7641	4604
624	7653	4592
625	7665	4579
626	7676	4566
627	7688	4554
628	7700	4541
629	7713	4530
630	7725	4517
631	7736	4505
632	7748	4492
633	7760	4479
634	7771	4467
635	7783	4454
636	7794	4442
637	7806	4429
638	7818	4417
639	7829	4404
640	7841	4391
641	7853	4379
642	7865	4366
643	7876	4354
644	7888	4341
645	7900	4329
646	7912	4316
647	7923	4304
648	7935	4291
649	7946	4278
650	7958	4266
651	7969	4253
652	7981	4241
653	7992	4228
654	8004	4216
655	8016	4203
656	8027	4191
657	8040	4178
658	8051	4166
659	8063	4153
660	8074	4141
661	8086	4128
662	8097	4116
663	8109	4103
664	8120	4090
665	8132	4078
666	8143	4065
667	8155	4053
668	8167	4040
669	8179	4028
670	8190	4016
671	8202	4003
672	8214	3991
673	8225	3978
674	8237	3966
675	8249	3953
676	8261	3941
677	8272	3928
678	8287	3917
679	8306	3908
680	8322	3898
681	8341	3889
682	8356	3878
683	8370	3866
684	8384	3855
685	8398	3844
686	8412	3832
687	8426	3821
688	8440	3809
689	8454	3798
690	8468	3786
691	8481	3775
692	8495	3763
693	8510	3752
694	8524	3740
695	8538	3729
696	8552	3717
697	8566	3706
698	8580	3694
699	8594	3683
700	8608	3671
701	8622	3660
702	8636	3648
703	8651	3637
704	8664	3625
705	8678	3613
706	8692	3602
707	8708	3591
708	8723	3580
709	8737	3568
710	8751	3557
711	8765	3545
712	8779	3534
713	8794	3522
714	8808	3511
715	8823	3499
716	8838	3488
717	8852	3477
718	8867	3465
719	8882	3454
720	8896	3442
721	8909	3430
722	8923	3418
723	8937	3407
724	8952	3395
725	8966	3384
726	8981	3372
727	8994	3360
728	9009	3349
729	9022	3337
730	9036	3325
731	9050	3313
732	9064	3301
733	9078	3290
734	9092	3278
735	9105	3266
736	9119	3254
737	9133	3242
738	9147	3230
739	9160	3218
740	9176	3207
741	9190	3195
742	9205	3184
743	9219	3172
744	9233	3160
745	9247	3148
746	9262	3136
747	9276	3125
748	9290	3113
749	9303	3101
750	9317	3089
751	9331	3077
752	9344	3065
753	9358	3053
754	9373	3041
755	9387	3029
756	9401	3017
757	9415	3005
758	9429	2993
759	9442	2981
760	9457	2970
761	9470	2958
762	9485	2946
763	9499	2934
764	9513	2922
765	9526	2910
766	9540	2898
767	9554	2886
768	9571	2875
769	9585	2863
770	9596	2850
771	9609	2838
772	9621	2825
773	9633	2812
774	9644	2800
775	9656	2787
776	9669	2775
777	9684	2763
778	9702	2752
779	9718	2741
780	9734	2729
781	9749	2717
782	9763	2705
783	9777	2693
784	9791	2681
785	9806	2669
786	9820	2657
787	9834	2645
788	9849	2633
789	9864	2622
790	9878	2610
791	9892	2598
792	9907	2586
793	9921	2574
794	9935	2562
795	9951	2550
796	9964	2538
797	9979	2526
798	9993	2513
799	10007	2501
800	10022	2489
801	10038	2478
802	10055	2466
803	10068	2454
804	10085	2443
805	10105	2432
806	10121	2420
807	10135	2408
808	10149	2396
809	10165	2384
810	10180	2372
811	10195	2360
812	10209	2348
813	10224	2336
814	10239	2324
815	10256	2312
816	10268	2300
817	10280	2287
818	10293	2274
819	10312	2263
820	10324	2251
821	10336	2238
822	10348	2225
823	10360	2212
824	10372	2200
825	10384	2187
826	10395	2174
827	10407	2162
828	10420	2149
829	10432	2136
830	10443	2123
831	10455	2111
832	10468	2098
833	10480	2085
834	10492	2073
835	10503	2060
836	10515	2047
837	10527	2035
838	10539	2022
839	10551	2009
840	10562	1997
841	10574	1984
842	10586	1971
843	10599	1959
844	10610	1946
845	10623	1933
846	10635	1921
847	10646	1908
848	10658	1895
849	10670	1883
850	10682	1870
851	10694	1857
852	10706	1845
853	10717	1832
854	10729	1819
855	10741	1807
856	10753	1794
857	10765	1781
858	10778	1769
859	10795	1757
860	10807	1744
861	10818	1732
862	10830	1719
863	10842	1706
864	10854	1694
865	10866	1681
866	10878	1668
867	10889	1656
868	10901	1643
869	10913	1630
870	10925	1618
871	10970	1610
872	11010	1601
873	11038	1591
874	11056	1579
875	11093	1570
876	11105	1557
877	11117	1544
878	11129	1532
879	11141	1519
880	11153	1506
881	11165	1493
882	11178	1481
883	11190	1468
884	11202	1455
885	11213	1442
886	11225	1430
887	11237	1417
888	11249	1404
889	11261	1391
890	11273	1379
891	11287	1366
892	11299	1353
893	11310	1341
894	11323	1328
895	11336	1315
896	11350	1303
897	11362	1290
898	11374	1277
899	11386	1265
900	11397	1252
901	11408	1239
902	11421	1226
903	11432	1214
904	11444	1201
905	11456	1188
906	11467	1175
907	11479	1163
908	11491	1150
909	11502	1137
910	11514	1124
911	11526	1112
912	11538	1099
913	11552	1086
914	11564	1074
915	11576	1061
916	11587	1048
917	11599	1036
918	11610	1023
919	11622	1010
920	11634	997
921	11645	985
922	11657	972
923	11669	959
924	11680	947
925	11691	934
926	11703	921
927	11714	908
928	11726	896
929	11737	883
930	11749	870
931	11761	858
932	11780	845
933	11792	833
934	11803	820
935	11815	807
936	11826	795
937	11838	782
938	11849	769
939	11861	757
940	11873	744
941	11885	731
942	11896	719
943	11907	706
944	11919	693
945	11930	681
946	11942	668
947	11953	655
948	11965	643
949	11977	630
950	11988	617
951	12000	605
952	12011	592
953	12023	579
954	12035	567
955	12046	554
956	12058	541
957	12069	529
958	12080	516
959	12092	503
960	12104	491
961	12116	478
962	12128	465
963	12139	453
964	12150	440
965	12162	428
966	12173	415
967	12185	402
968	12197	390
969	12208	377
970	12220	364
971	12232	352
972	12243	339
973	12255	327
974	12266	314
975	12278	301
976	12290	289
977	12304	276
978	12317	264
979	12328	251
980	12340	239
981	12352	226
982	12364	213
983	12375	201
984	12387	188
985	12398	176
986	12410	163
987	12421	150
988	12432	138
989	12446	125
990	12459	113
991	12470	100
992	12482	87
993	12494	75
994	12506	62
995	12517	50
996	12529	37
997	12541	25
998	12552	12
999	12564	0
