iter	BalancedAccuracy	Logloss
116	0.9305488492	0.1938124807
117	0.9309512313	0.1934455789
118	0.931273137	0.1928414338
119	0.9315145662	0.1924240989
120	0.9316755191	0.1919950715
121	0.9313536134	0.1899678118
122	0.9316755191	0.188865554
123	0.932238854	0.188188969
124	0.9326412361	0.1876596958
125	0.9332045711	0.1872754286
126	0.9333655239	0.1867596112
127	0.9334460003	0.1862400068
128	0.9336874296	0.185778561
129	0.9338483824	0.1854077282
130	0.9344117174	0.1848211445
131	0.9344921938	0.1842954799
132	0.9348140995	0.1839147114
133	0.9350555287	0.1835819417
134	0.9352164816	0.183108845
135	0.9356188637	0.1826835463
136	0.9356993401	0.1825690418
137	0.9355383873	0.1822405749
138	0.9356188637	0.1814440139
139	0.9356188637	0.1810863284
140	0.9356993401	0.1802857693
141	0.936262675	0.1798175366
142	0.936262675	0.1794547223
143	0.93682601	0.1786586768
144	0.9365845807	0.1779792018
145	0.9369064864	0.1775034375
146	0.9374698213	0.1770784528
147	0.9375502978	0.1766681018
148	0.9375502978	0.1762128725
149	0.9377112506	0.1759003271
150	0.9380331563	0.1755877406
151	0.9381941091	0.1750297718
152	0.9384355384	0.1747481065
153	0.9385160148	0.1743326144
154	0.9384355384	0.1736002884
155	0.9386769676	0.1731109456
156	0.9385160148	0.1723525475
157	0.9385160148	0.1719879481
158	0.9386769676	0.1715633627
159	0.9389183969	0.1712278199
160	0.9391598262	0.1708539548
161	0.9392403026	0.1705564382
162	0.9392403026	0.1704476938
163	0.939884114	0.1700033407
164	0.9394012554	0.1695443217
165	0.9396426847	0.1691144615
166	0.9402864961	0.168604566
167	0.9405279253	0.1682502037
168	0.9407693546	0.1678966737
169	0.9406084017	0.1675374718
170	0.9406888782	0.1672589699
171	0.940849831	0.1669400002
172	0.9410912603	0.1665930452
173	0.9412522131	0.1661422752
174	0.9415741188	0.165811213
175	0.9415741188	0.1654521612
176	0.941815548	0.1651281579
177	0.9421374537	0.1645027446
178	0.9424593594	0.1639750534
179	0.9427812651	0.1635945012
180	0.9427812651	0.1632184491
181	0.9429422179	0.1627747632
182	0.9433446	0.1625161477
183	0.9438274586	0.16211466
184	0.9436665057	0.1617174245
185	0.9436665057	0.1612196325
186	0.9438274586	0.1606203042
187	0.943907935	0.1603042156
188	0.9441493642	0.1599245523
189	0.9441493642	0.1594016081
190	0.9441493642	0.1590231572
191	0.9440688878	0.1585158342
192	0.9443103171	0.1581094513
193	0.9444712699	0.1578446329
194	0.944873652	0.1574524267
195	0.9452760341	0.1570160296
196	0.9451150813	0.1566443785
197	0.9453565105	0.1563444757
198	0.9456784162	0.1560501511
199	0.9458393691	0.1557362465
200	0.9460003219	0.1552509537
201	0.9461612747	0.1548600731
202	0.9462417512	0.1545827862
203	0.946402704	0.1543436616
204	0.9464831804	0.1540885543
205	0.9468855625	0.1538361659
206	0.9468050861	0.1534961295
207	0.9472074682	0.1532615796
208	0.9476098503	0.1528755158
209	0.9477708032	0.1526104092
210	0.9476903267	0.1523666567
211	0.9478512796	0.1521028411
212	0.947931756	0.1517120737
213	0.947931756	0.1514920618
214	0.9481731853	0.1512491399
215	0.9481731853	0.1510911422
216	0.9482536617	0.1507960575
217	0.9485755674	0.1503591101
218	0.9488169966	0.1500062271
219	0.9492193787	0.1496369945
220	0.9492193787	0.14945422
221	0.949460808	0.1493579836
222	0.9497827137	0.1489139181
223	0.9497827137	0.14856782
224	0.9499436665	0.1482774417
225	0.9501046193	0.1480697541
226	0.9501046193	0.1478665456
227	0.9500241429	0.1474970969
228	0.9495412844	0.1469122905
229	0.9495412844	0.1467203417
230	0.9496217608	0.1466149627
231	0.9500241429	0.1462061308
232	0.9502655722	0.1461252668
233	0.9502655722	0.1457422524
234	0.9499436665	0.1453731008
235	0.9502655722	0.1451034315
236	0.9503460486	0.1448217649
237	0.9508289071	0.1443149782
238	0.9512312892	0.1440247431
239	0.9513117657	0.143607763
240	0.9517946242	0.1431257881
241	0.9521165299	0.1429037401
242	0.9525993884	0.142500787
243	0.9527603412	0.1422897092
244	0.9526798648	0.1421368181
245	0.9528408176	0.1416820179
246	0.9526798648	0.1413063893
247	0.9530822469	0.1409990914
248	0.9530017705	0.1405315527
249	0.9532431997	0.1401906632
250	0.953484629	0.1398858777
251	0.9531627233	0.139665343
252	0.9536455818	0.1394220129
253	0.9536455818	0.1393066562
254	0.9540479639	0.1389661691
255	0.9540479639	0.1387546711
256	0.9540479639	0.1382442424
257	0.9539674875	0.1379134252
258	0.9541284404	0.1376028449
259	0.9539674875	0.1372988968
260	0.9541284404	0.1370414934
261	0.9541284404	0.1368304237
262	0.9543698696	0.1364826809
263	0.954450346	0.1359238793
264	0.9543698696	0.1357695168
265	0.9546112989	0.1356022746
266	0.9549332046	0.1353641534
267	0.9550941574	0.1351736095
268	0.9551746338	0.1350203246
269	0.9550941574	0.1347871599
270	0.9550941574	0.1344422624
271	0.9552551103	0.1342535944
272	0.9554160631	0.1340028269
273	0.9558989216	0.133685313
274	0.955979398	0.1333063313
275	0.9558989216	0.1330410672
276	0.9558989216	0.1328239559
277	0.9560598745	0.1326341295
278	0.9560598745	0.1324411702
279	0.9562208273	0.1322036642
280	0.9562208273	0.1320785277
281	0.9566232094	0.1317595341
282	0.9569451151	0.1312336882
283	0.9569451151	0.1309254369
284	0.9572670208	0.1307766575
285	0.9574279736	0.1303178164
286	0.95750845	0.1301696267
287	0.9573474972	0.1298967476
288	0.9577498793	0.1295373282
289	0.9581522614	0.1291559142
290	0.9581522614	0.1289856764
291	0.9583132142	0.1288408848
292	0.9582327378	0.1285811148
293	0.9582327378	0.128375785
294	0.9583936906	0.1282409723
295	0.9586351199	0.1278442968
296	0.9586351199	0.1276761836
297	0.9586351199	0.1275106364
298	0.9586351199	0.1272154383
299	0.9587155963	0.1269099838
300	0.9591179784	0.1264090363
301	0.9594398841	0.1260377979
302	0.9595203605	0.125705907
303	0.9598422662	0.1255010618
304	0.9601641719	0.1251814742
305	0.9604056012	0.1248875916
306	0.9604860776	0.12470246
307	0.9607275068	0.1242920575
308	0.9608079833	0.1241687767
309	0.9606470304	0.123893014
310	0.960566554	0.1237066375
311	0.9608079833	0.1234714869
312	0.9608884597	0.1232513654
313	0.9613713182	0.1228322418
314	0.9613713182	0.1226356176
315	0.9613713182	0.122503856
316	0.9614517946	0.1223962011
317	0.9614517946	0.1222388113
318	0.961532271	0.1220165244
319	0.961532271	0.1217846501
320	0.9616932239	0.1215848454
321	0.962095606	0.1212902455
322	0.9619346531	0.1211710161
323	0.9620151296	0.1209639787
324	0.9621760824	0.1206960684
325	0.9620151296	0.1205341393
326	0.962095606	0.1204640827
327	0.9622565588	0.1202208165
328	0.9624979881	0.1198407361
329	0.9625784645	0.1195081015
330	0.9631417995	0.1192339816
331	0.9632222759	0.1189159872
332	0.9629003702	0.1186715885
333	0.9633027523	0.1185145562
334	0.9635441816	0.1182144226
335	0.9634637051	0.1180403361
336	0.9631417995	0.11795414
337	0.9633027523	0.117803318
338	0.9633832287	0.1176328562
339	0.9635441816	0.1173608809
340	0.963624658	0.1171362392
341	0.9637856108	0.1169746531
342	0.9638660872	0.1168273653
343	0.9639465637	0.1166791125
344	0.9641075165	0.1164462562
345	0.9639465637	0.1161132306
346	0.9640270401	0.1158231571
347	0.9640270401	0.1157126429
348	0.9640270401	0.1155942358
349	0.9644294222	0.1152839355
350	0.9644294222	0.1149498482
351	0.9645098986	0.1147365996
352	0.9646708514	0.1143288145
353	0.96515371	0.1140647948
354	0.9653146628	0.1138396807
355	0.9652341864	0.1136768846
356	0.9653951392	0.1134017082
357	0.9654756156	0.1132114467
358	0.9660389506	0.1129783876
359	0.966119427	0.1127928185
360	0.966119427	0.1124887629
361	0.9662803798	0.1123372203
362	0.9663608563	0.1121748824
363	0.9668437148	0.1119801841
364	0.9670046676	0.1118684519
365	0.966682762	0.1115953983
366	0.9668437148	0.1114737515
367	0.9666022855	0.1112778767
368	0.9669241912	0.1109548828
369	0.9669241912	0.1107780008
370	0.9671656205	0.1104485796
371	0.9672460969	0.110337788
372	0.9673265733	0.1101706672
373	0.9674070497	0.1099743524
374	0.9674875262	0.109873205
375	0.9675680026	0.1096061102
376	0.9674070497	0.1093067166
377	0.9678094318	0.109102025
378	0.9678094318	0.108880182
379	0.9679703847	0.1086806448
380	0.9682922904	0.1084556291
381	0.9685337196	0.1083885613
382	0.9689361017	0.1081433632
383	0.9689361017	0.1078299653
384	0.9689361017	0.1076732766
385	0.9687751489	0.1074822294
386	0.9690165781	0.1073442046
387	0.9692580074	0.1071675211
388	0.9692580074	0.1069707694
389	0.9696603895	0.1066784065
390	0.9698213423	0.1065180512
391	0.9699018188	0.1061804781
392	0.9700627716	0.105980389
393	0.9699822952	0.105825948
394	0.9699822952	0.1055839554
395	0.9699822952	0.1053851505
396	0.9703846773	0.1050450498
397	0.9703846773	0.1048157676
398	0.9704651537	0.1046632177
399	0.9708675358	0.104510802
